,env,orientation,d,epoch,src,nei,etl,rtl,uwb_exposure,uwb_lst_scheduled,uwb_lst_aborted,uwb_lst_timeout,uwb_req_scheduled,uwb_req_aborted,uwb_req_timeout,uwb_req_count,uwb_avg_d_cm,uwb_avg_los,uwb_avg_rssi,ble_exposure,ble_ble_scan_count,ble_avg_rssi,ble_avg_d_cm
20,whiteboard,front,1.5,73837713,5F:C2,AF:DE,7E40123027ACABC2818137184C6661850965E2DB24209B9A46128D36E48682EF,541CECF44BD3EAF7D195A4EEAE1F8F82A9F86F9C1263E31FBE4C66E9A4B067CC,178,771,0,191,888,0,108,780,142,,,178,771,-56.6067085,33
21,whiteboard,front,1.5,73837713,AF:DE,5F:C2,541CECF44BD3EAF7D195A4EEAE1F8F82A9F86F9C1263E31FBE4C66E9A4B067CC,7E40123027ACABC2818137184C6661850965E2DB24209B9A46128D36E48682EF,178,797,0,17,888,0,310,576,144,,,178,797,-56.6500396,33
22,backpack,front,3.5,73911929,AF:DE,5F:C2,34C9C02592AD5BDA4965C3E58FCEDF753DD1109F5E3DD8CA38896789E6F55332,2B8BCCD133F6B341D5608D435CBAFD27F985C1FAEF4788C9DA47DCF175C4C8AE,178,847,0,105,889,0,104,784,369,,,178,847,-65.0005035,123
23,backpack,front,3.5,73911929,5F:C2,AF:DE,2B8BCCD133F6B341D5608D435CBAFD27F985C1FAEF4788C9DA47DCF175C4C8AE,34C9C02592AD5BDA4965C3E58FCEDF753DD1109F5E3DD8CA38896789E6F55332,178,821,0,36,889,0,147,741,369,,,178,821,-65.0591735,125
24,whiteboard,front,2.0,73837988,5F:C2,AF:DE,022CB94448482FAC5AF183C65C0C9355F6DD2B0FB8ED2939EFB1253AA0820A2A,1CFA654025FCC6F685DA5E0DE7ECBF47C83BA7347271EC01D9DC2B2CC9E0CCE8,177,822,0,56,888,0,94,791,196,,,177,822,-60.5017662,61
25,whiteboard,front,2.0,73837988,AF:DE,5F:C2,1CFA654025FCC6F685DA5E0DE7ECBF47C83BA7347271EC01D9DC2B2CC9E0CCE8,022CB94448482FAC5AF183C65C0C9355F6DD2B0FB8ED2939EFB1253AA0820A2A,178,823,0,29,889,0,124,762,196,,,178,823,-60.632904,62
26,body,front,0.5,73821777,5F:C2,AF:DE,2D648351288B3F9E656B0E23F2B05ED55D86B0C4EB7711091BADAC8B3AB90C20,8C789C28418E61F0D071DFE096440FF2A050A668039D9E38A117DECB0859CD5E,178,779,0,11,889,0,137,749,112,,,178,779,-65.2099304,128
27,body,front,0.5,73821777,AF:DE,5F:C2,8C789C28418E61F0D071DFE096440FF2A050A668039D9E38A117DECB0859CD5E,2D648351288B3F9E656B0E23F2B05ED55D86B0C4EB7711091BADAC8B3AB90C20,178,764,0,13,890,0,119,766,113,,,178,764,-65.3828048,131
28,body,front,1.0,73822149,5F:C2,AF:DE,B841BF77F844EEC6CF339CDCBAA2487DF88E1CDE09A310C7F2F13598C9158F70,AF427E04F194475528C14040975EC4B4B5A08E13BDEC121CB95AC7B66D9785DA,177,785,0,1,889,0,181,703,149,,,178,785,-68.8387985,226
29,body,front,1.0,73822149,AF:DE,5F:C2,AF427E04F194475528C14040975EC4B4B5A08E13BDEC121CB95AC7B66D9785DA,B841BF77F844EEC6CF339CDCBAA2487DF88E1CDE09A310C7F2F13598C9158F70,178,792,0,84,890,0,106,780,156,,,178,792,-69.1296691,237
30,plexiglass,front,3.0,73848247,AF:DE,5F:C2,656103220EDEF579FD668F95E9B1DBF8179AC864F83742128054B4E3AAF02646,01E0295C4D78E96957C5607F245C7817E5B3C31AE470369A59E5E389F65CB97B,178,811,0,0,888,0,73,812,304,,,178,811,-64.3055191,111
31,plexiglass,front,3.0,73848246,5F:C2,AF:DE,01E0295C4D78E96957C5607F245C7817E5B3C31AE470369A59E5E389F65CB97B,656103220EDEF579FD668F95E9B1DBF8179AC864F83742128054B4E3AAF02646,178,816,0,3,889,0,77,807,303,,,178,816,-64.2285308,109
32,pocket,back,1.5,73850508,AF:DE,5F:C2,4AECE9189322ED955B8D5A7FE5B5A21C9A99D36E17A4C861DFA7856AEA8E0487,4661E827A3BB563BC778052681186B9BA98FFDFDE7F038DA15F1E9CC937B30D3,178,746,0,31,889,0,169,715,234,,,178,746,-70.4903183,293
33,pocket,back,1.5,73850507,5F:C2,AF:DE,4661E827A3BB563BC778052681186B9BA98FFDFDE7F038DA15F1E9CC937B30D3,4AECE9189322ED955B8D5A7FE5B5A21C9A99D36E17A4C861DFA7856AEA8E0487,178,738,0,21,889,0,175,710,230,,,178,738,-70.2482986,282
34,plaster,front,1.0,73841475,5F:C2,AF:DE,0F32570070A917106AF68F31320435D447AA00B13B4D08206BB7203E969A103E,F50C8F34D40DBA070F51F332B70B920B5597484C0BBA09E7546B858893FDB5C9,178,788,0,42,889,0,155,769,109,,-82.4236221,178,788,-65.4431381,132
35,plaster,front,1.0,73841475,AF:DE,5F:C2,F50C8F34D40DBA070F51F332B70B920B5597484C0BBA09E7546B858893FDB5C9,0F32570070A917106AF68F31320435D447AA00B13B4D08206BB7203E969A103E,179,812,0,40,890,0,180,746,109,,-82.4180755,179,812,-65.4587402,133
36,door,front,1.5,73844755,5F:C2,AF:DE,021D23CB3EB62A039D0A92F041E09237AB27E6F6695BF4C7D2C3806BC438B3F1,B0B64040E1EA8025A7D0E266B9E40EC062246C541871850622631EA0B0A48002,178,853,0,0,888,0,50,834,150,,,178,853,-57.9002838,40
37,door,front,1.5,73844754,AF:DE,5F:C2,B0B64040E1EA8025A7D0E266B9E40EC062246C541871850622631EA0B0A48002,021D23CB3EB62A039D0A92F041E09237AB27E6F6695BF4C7D2C3806BC438B3F1,178,839,0,1,889,0,36,849,152,,,178,839,-58.0434036,41
38,pocket,front,3.5,73852061,AF:DE,5F:C2,0EC3979EB35D16A00A86D42E84872ACF83DEA84C34736110BFBBCD88F30548FD,B42C4C3122D5EC644F907881C8FC5AB3548A8BAFDD1C184764BA717DC631C807,178,871,0,1,888,0,223,660,360,,,178,871,-61.3607216,69
39,pocket,front,3.5,73852061,5F:C2,AF:DE,B42C4C3122D5EC644F907881C8FC5AB3548A8BAFDD1C184764BA717DC631C807,0EC3979EB35D16A00A86D42E84872ACF83DEA84C34736110BFBBCD88F30548FD,178,855,0,190,889,0,19,869,359,,,178,855,-61.1075134,67
40,db-glass-op,front,2.5,73835167,5F:C2,AF:DE,E15DD5C5F9B0819AA6138ED081CE0748C2DAAE6694C9D78171D996527E99B81F,C47D357C35383BF63E2A92E584426AAB2DFCF76FC5E8806B1B1B17E32A5676DF,177,751,0,26,888,0,186,698,315,,,178,751,-73.5746307,476
