,env,method,orientation,d,src,nei,d_est,d_err_absolute,d_err_relative
266,los,riot,front,1.0,C3:29,57:81,0.9870372,0.012962800000000052,0.012962800000000052
267,los,riot,front,1.0,C3:29,57:81,0.9706351,0.029364900000000027,0.029364900000000027
268,los,riot,front,1.0,C3:29,57:81,0.9729795,0.027020500000000003,0.027020500000000003
269,los,riot,front,1.0,C3:29,57:81,1.0220334,0.02203339999999998,0.02203339999999998
270,los,riot,front,1.0,C3:29,57:81,0.9871622,0.01283780000000001,0.01283780000000001
271,los,riot,front,1.0,C3:29,57:81,1.0024243,0.002424299999999935,0.002424299999999935
272,los,riot,front,1.0,C3:29,57:81,0.9866745,0.01332549999999999,0.01332549999999999
273,los,riot,front,1.0,C3:29,57:81,0.9569634,0.04303659999999998,0.04303659999999998
274,los,riot,front,1.0,C3:29,57:81,0.9844276,0.015572400000000042,0.015572400000000042
275,los,riot,front,1.0,C3:29,57:81,0.9859686,0.014031400000000027,0.014031400000000027
276,los,riot,front,1.0,C3:29,57:81,0.9697455,0.030254499999999962,0.030254499999999962
277,los,riot,front,1.0,C3:29,57:81,1.0062861,0.006286100000000072,0.006286100000000072
278,los,riot,front,1.0,C3:29,57:81,1.0241976,0.02419759999999993,0.02419759999999993
279,los,riot,front,1.0,C3:29,57:81,1.0023965,0.0023964999999999126,0.0023964999999999126
280,los,riot,front,1.0,C3:29,57:81,0.9974166,0.0025834000000000135,0.0025834000000000135
281,los,riot,front,1.0,C3:29,57:81,1.0117781,0.011778099999999903,0.011778099999999903
282,los,riot,front,1.0,C3:29,57:81,1.0414643,0.0414642999999999,0.0414642999999999
283,los,riot,front,1.0,C3:29,57:81,0.9609618,0.03903820000000002,0.03903820000000002
284,los,riot,front,1.0,C3:29,57:81,0.9826504,0.017349599999999965,0.017349599999999965
285,los,riot,front,1.0,C3:29,57:81,0.9643894,0.03561060000000005,0.03561060000000005
286,los,riot,front,1.0,C3:29,57:81,0.9835769,0.016423100000000024,0.016423100000000024
287,los,riot,front,1.0,C3:29,57:81,0.9988032,0.0011967999999999979,0.0011967999999999979
288,los,riot,front,1.0,C3:29,57:81,0.9930295,0.006970499999999991,0.006970499999999991
